"experience_level","employment_type","job_title","salary","remote_ratio","company_location","company_size"
"SE","FT","Data Engineer",2e+05,0,"US","M"
"EN","FT","Data Analyst",105000,0,"US","M"
"MI","FT","Data Engineer",87500,0,"GB","M"
"SE","FT","Data Science",179000,0,"US","M"
"MI","FT","Data Scientist",161875,0,"US","M"
"MI","FT","Data Scientist",166000,0,"US","M"
"SE","FT","Data Architect",205000,100,"US","M"
"SE","FT","Machine Learning Engineer",311000,0,"US","M"
"SE","FT","Data Engineer",166000,0,"US","M"
"SE","FT","Data Engineer",172000,100,"US","M"
"EN","FT","Data Analyst",97500,0,"US","M"
"SE","FT","Analytics Engineer",130000,100,"US","M"
"EN","FT","Data Analyst",120000,0,"US","M"
"SE","FT","Data Architect",81800,0,"US","M"
"SE","FT","Data Analyst",177000,0,"US","M"
"SE","FT","Business Intelligence Engineer",84600,100,"US","M"
"SE","FT","Data Scientist",155000,0,"US","M"
"MI","FT","Applied Scientist",222200,0,"US","L"
"SE","FT","BI Developer",197000,0,"US","M"
"SE","FT","Data Scientist",130000,100,"US","M"
"MI","FT","Data Engineer",103977,0,"US","M"
"SE","FT","Data Scientist",216100,0,"US","M"
"SE","FT","Data Analyst",177000,100,"US","M"
"MI","FT","Data Analyst",95400,100,"US","M"
"SE","FT","Data Engineer",161800,100,"US","M"
"SE","FT","Business Intelligence Engineer",34666,0,"LV","M"
"SE","FT","Data Analyst",106800,0,"US","M"
"SE","FT","Applied Scientist",230000,100,"US","M"
"SE","FT","Data Analyst",80000,100,"US","M"
"SE","FT","Machine Learning Engineer",140358,100,"DE","M"
"SE","FT","Data Engineer",73824,0,"GB","M"
"SE","FT","Business Intelligence Developer",102000,100,"US","M"
"SE","FT","Data Engineer",82900,0,"IN","M"
"MI","FT","Machine Learning Engineer",175000,100,"US","M"
"SE","FT","Data Science Manager",299500,0,"US","M"
"EN","FT","Data Analyst",138000,0,"US","M"
"SE","FT","Machine Learning Researcher",50000,50,"UA","S"
"MI","FT","Machine Learning Engineer",220000,0,"US","M"
"SE","FT","Data Engineer",37788,0,"PT","M"
"SE","FT","Data Scientist",81250,0,"GB","M"
"SE","FT","Data Engineer",122600,0,"US","M"
"SE","FT","Applied Scientist",164000,100,"US","M"
"SE","FT","Data Scientist",71000,0,"US","M"
"SE","FT","Data Analyst",117000,0,"US","M"
"EX","FT","Data Science",97254,0,"US","M"
"SE","FT","Data Scientist",81410,0,"CA","M"
"MI","FT","BI Developer",80420,0,"US","M"
"SE","FT","Data Analyst",85500,0,"US","M"
"SE","FT","Data Scientist",269000,0,"CA","M"
"SE","FT","Data Infrastructure Engineer",185000,0,"US","M"
"EN","FT","Big Data Engineer",16228,100,"IN","L"
"SE","FT","Analytics Engineer",179820,0,"US","M"
"SE","FT","Data Scientist",161500,0,"US","M"
"SE","FT","Data Architect",146000,0,"US","M"
"MI","FT","Research Scientist",150000,100,"US","M"
"SE","FT","Data Engineer",178500,0,"US","M"
"SE","FT","Research Scientist",197500,0,"US","M"
"MI","FT","Data Scientist",68400,0,"US","M"
"SE","FT","Machine Learning Engineer",137500,0,"US","M"
"SE","FT","Data Scientist",125000,100,"US","M"
"EX","FT","Data Engineer",174500,100,"US","M"
"SE","FT","Data Scientist",116000,0,"US","M"
"SE","FT","Data Science Engineer",220000,100,"US","M"
"SE","FT","Data Engineer",139400,0,"US","M"
"SE","FT","Data Manager",155000,0,"US","M"
"MI","FT","Data Engineer",133000,0,"US","M"
"SE","FT","Machine Learning Engineer",262000,0,"US","M"
"SE","FT","Data Manager",130000,0,"US","M"
"SE","FT","Data Engineer",290000,100,"US","M"
"MI","FT","Data Analyst",109000,0,"US","M"
"MI","FT","Data Scientist",111600,0,"US","L"
"SE","FT","Data Engineer",238000,0,"US","M"
"MI","FT","Data Analyst",115000,100,"US","M"
"SE","FT","Research Scientist",151800,0,"US","M"
"EN","FT","Data Scientist",144650,0,"US","M"
"SE","FT","Data Engineer",148000,100,"US","M"
"MI","FT","Data Scientist",240000,0,"US","M"
"MI","FT","Data Engineer",95000,100,"US","M"
"EN","FT","Applied Scientist",213660,0,"US","L"
"SE","FT","Data Analyst",126000,0,"US","M"
"EX","FT","AI Architect",215936,100,"US","L"
"SE","FT","Data Engineer",124500,0,"US","M"
"SE","FT","Machine Learning Infrastructure Engineer",165400,0,"GB","M"
"SE","FT","Prompt Engineer",140000,0,"US","M"
"MI","FT","Data Engineer",132000,100,"US","M"
"SE","FT","Data Engineer",145000,0,"US","M"
"SE","FT","Data Science Consultant",157550,0,"US","M"
"SE","FT","Machine Learning Engineer",180300,0,"US","M"
"SE","FT","Data Scientist",156400,100,"US","M"
"SE","FT","Data Engineer",125000,0,"GB","M"
"SE","FT","Business Intelligence Engineer",225000,0,"US","M"
"SE","FT","Data Analyst",167000,0,"US","M"
"EN","FT","Research Analyst",250000,0,"US","M"
"SE","FT","Data Analyst",206000,0,"US","M"
"SE","FT","Machine Learning Engineer",238000,0,"US","M"
"MI","FT","Research Engineer",73000,0,"US","M"
"MI","FT","MLOps Engineer",124000,100,"US","M"
"SE","FT","Data Engineer",63000,100,"US","M"
"SE","FT","Machine Learning Engineer",255800,0,"US","M"
"SE","FT","Data Analyst",85700,0,"US","M"
"SE","FT","Data Operations Engineer",289120,0,"US","M"
"MI","FT","Data Analyst",53000,100,"US","M"
"MI","FT","Data Engineer",150000,100,"US","M"
"MI","FT","Business Intelligence Engineer",165600,0,"US","L"
"EN","FT","Data Analyst",92280,0,"GB","M"
"SE","FT","Data Scientist",187000,0,"US","M"
"SE","FT","Data Engineer",170000,0,"US","M"
"SE","FT","Data Scientist",207900,0,"US","M"
"MI","FT","Data Engineer",150000,100,"US","M"
"EX","FT","Head of Data",172200,0,"US","M"
"SE","FT","Data Science",86000,0,"US","M"
"SE","FT","Data Science Consultant",128000,0,"US","M"
"MI","FT","Data Specialist",73000,100,"US","M"
"SE","FT","Data Scientist",230000,100,"US","M"
"SE","FT","Machine Learning Engineer",210600,100,"GB","M"
"SE","FT","Machine Learning Engineer",189000,0,"US","M"
"SE","FT","Data Scientist",104000,100,"US","M"
"SE","FT","Machine Learning Engineer",247500,0,"US","M"
"EX","FT","Business Intelligence Engineer",172200,0,"US","M"
"SE","FT","Data Scientist",110250,0,"US","M"
"SE","FT","Data Analyst",110000,0,"US","M"
"SE","FT","Data Engineer",123000,0,"US","M"
"SE","FT","Data Engineer",110500,100,"US","M"
"SE","FT","ML Engineer",220000,0,"US","M"
"SE","FT","Data Analyst",140000,0,"US","M"
"SE","FT","Data Engineer",73100,0,"US","M"
"MI","FT","Data Science Manager",159000,100,"US","M"
"SE","FT","Data Analyst",51962,0,"US","M"
"SE","FT","Data Scientist",112500,100,"US","M"
"EN","FT","Research Analyst",120000,100,"US","M"
"SE","FT","Data Engineer",245000,100,"US","M"
"SE","FT","Data Scientist",80000,100,"US","M"
"SE","FT","Data Manager",1e+05,0,"US","M"
"MI","FT","Data Engineer",43187,100,"PL","L"
"MI","FT","Data Scientist",198800,0,"US","M"
"SE","FT","Data Scientist",190000,0,"US","M"
"MI","FT","Data Scientist",110000,0,"US","M"
"MI","FT","Data Engineer",93000,0,"US","M"
"SE","FT","Machine Learning Engineer",139500,0,"US","M"
"SE","FT","Data Scientist",120000,100,"US","M"
"SE","FT","Machine Learning Engineer",242921,0,"US","M"
"SE","FT","Finance Data Analyst",61896,50,"GB","L"
"MI","FT","Data Engineer",89000,0,"US","M"
"MI","FT","Data Analyst",107500,0,"US","M"
"SE","FT","Research Engineer",203000,0,"US","M"
"MI","FT","Data Analyst",105000,100,"US","M"
"MI","FT","Data Engineer",88000,0,"CO","M"
"SE","FT","Data Engineer",210000,100,"US","M"
"SE","FT","Data Engineer",190000,0,"US","M"
"EX","FT","Head of Data",142200,0,"US","M"
"SE","FT","Data Scientist",123000,0,"US","M"
"MI","FT","Research Engineer",105066,50,"GB","S"
"SE","FT","Data Scientist",210000,100,"US","M"
"SE","FT","Machine Learning Engineer",145400,0,"US","M"
"MI","FT","Data Engineer",2e+05,100,"US","L"
"SE","FT","Data Engineer",226700,0,"US","M"
"SE","FT","Data Scientist",245000,0,"US","M"
"SE","FT","Data Manager",55200,0,"US","M"
"EN","FT","Data Analyst",115000,0,"US","M"
"MI","FT","Data Scientist",90000,100,"US","M"
"SE","FT","Machine Learning Engineer",199000,100,"US","M"
"EN","FT","Data Analyst",71615,0,"US","M"
"SE","FT","Data Scientist",215625,100,"US","M"
"EX","FT","Data Engineer",187200,100,"US","M"
"SE","FT","Data Engineer",177600,100,"US","L"
"SE","FT","Data Analyst",51962,100,"US","M"
"EN","FT","Data Reporting Analyst",90300,0,"US","M"
"MI","FT","Data Analyst",60000,100,"US","M"
"SE","FT","Data Architect",192564,100,"US","M"
"SE","FT","Data Scientist",196000,0,"US","M"
"MI","FT","Data Manager",130000,0,"US","M"
"MI","FT","Data Scientist",170200,0,"US","M"
"MI","FT","Data Analyst",72500,0,"US","M"
"SE","FT","Research Engineer",156400,100,"US","M"
"SE","FT","Data Science Consultant",128000,0,"US","M"
"SE","FT","Machine Learning Engineer",177300,100,"US","M"
"SE","FT","Data Analyst",150000,100,"US","M"
"SE","FT","ML Engineer",137500,0,"GB","S"
"SE","FT","Data Analyst",99450,100,"US","M"
"SE","FT","Research Engineer",150000,0,"US","M"
"SE","FT","Data Scientist",155000,100,"US","M"
"SE","FT","Machine Learning Scientist",157250,100,"US","M"
"MI","FT","Data Engineer",148000,0,"US","M"
"SE","FT","Analytics Engineer",144000,100,"CA","M"
"MI","FT","Data Analyst",105000,0,"US","M"
"MI","FT","Data Manager",115500,0,"US","M"
"SE","FT","Data Scientist",185000,0,"US","M"
"MI","FT","Data Operations Engineer",1e+05,100,"US","M"
"SE","FT","Data Scientist",140400,100,"US","M"
"EN","FT","MLOps Engineer",133000,0,"US","M"
"SE","FT","Data Scientist",126500,0,"US","M"
"SE","FT","Data Engineer",202500,0,"US","M"
"SE","FT","Data Engineer",110000,0,"US","M"
"SE","FT","Data Scientist",115500,100,"US","M"
"MI","FT","Data Scientist",127500,100,"US","M"
"SE","FT","Machine Learning Engineer",216000,0,"US","M"
"SE","FT","Business Intelligence Analyst",67993,0,"ZA","M"
"SE","FT","Data Engineer",185000,100,"US","M"
"SE","FT","Data Analyst",136000,100,"US","M"
"SE","FT","Data Architect",80000,0,"US","M"
"MI","FT","Data Scientist",93300,0,"US","M"
"SE","FT","Business Intelligence Developer",140000,100,"CA","M"
"SE","FT","Research Scientist",202350,0,"US","M"
"SE","FT","Data Engineer",165000,100,"US","M"
"SE","FT","Machine Learning Engineer",219100,100,"US","M"
"MI","FT","Data Analyst",42026,100,"ES","M"
"EN","FT","Data Analyst",80000,0,"US","M"
"SE","FT","Research Scientist",202350,0,"US","M"
"MI","FT","Data Scientist",145000,100,"US","M"
"MI","FT","Data Analyst",135000,0,"US","M"
"MI","FT","BI Developer",81500,0,"US","M"
"SE","FT","Data Engineer",120000,0,"US","M"
"SE","FT","Data Analyst",185900,0,"US","M"
"SE","FT","Analytics Engineer",145000,100,"US","M"
"MI","FT","Data Science",120000,100,"US","M"
"MI","FT","BI Data Analyst",98000,0,"US","M"
"EN","FT","Data Management Analyst",80000,100,"US","M"
"SE","FT","Machine Learning Engineer",331640,0,"US","M"
"MI","FT","Data Engineer",106000,100,"US","L"
"SE","FT","Machine Learning Engineer",241300,0,"US","M"
"SE","FT","Machine Learning Engineer",175000,100,"US","M"
"MI","FT","Data Scientist",188500,0,"US","M"
"SE","FT","Research Scientist",85469,100,"US","M"
"SE","FT","Machine Learning Engineer",216700,100,"CA","M"
"MI","FT","Data Scientist",166000,0,"US","M"
"SE","FT","Data Scientist",204500,0,"US","M"
"SE","FT","Data Scientist",145000,100,"US","M"
"SE","FT","Machine Learning Engineer",331640,0,"US","M"
"MI","FT","Research Scientist",100400,0,"US","L"
"MI","FT","Data Engineer",90000,0,"US","M"
"SE","FT","Data Scientist",110000,100,"US","M"
"SE","FT","Applied Scientist",230000,100,"US","M"
"SE","FT","Analytics Engineer",90000,0,"US","M"
"EN","FT","Research Scientist",2e+05,100,"US","M"
"SE","FT","Business Intelligence Engineer",78800,100,"US","M"
"SE","FT","Machine Learning Engineer",148594,0,"US","M"
"MI","FT","Data Scientist",162000,0,"US","M"
"EX","FT","Head of Data",230000,50,"RU","L"
"MI","FT","Machine Learning Engineer",135000,0,"US","M"
"SE","FT","Machine Learning Manager",117104,50,"CA","L"
"SE","FT","Machine Learning Engineer",283200,0,"US","M"
"MI","FT","Financial Data Analyst",130000,100,"US","L"
"SE","FT","Data Engineer",146266,0,"US","M"
"SE","FT","Data Scientist",165000,0,"US","M"
"SE","FT","Data Engineer",130100,0,"US","M"
"MI","FT","Data Scientist",140400,100,"US","M"
"SE","FT","Business Intelligence Engineer",225000,0,"US","M"
"SE","FT","Data Scientist",159832,0,"US","M"
"SE","FT","Data Science Manager",150000,100,"MX","M"
"SE","FT","Data Science Manager",249260,0,"US","M"
"SE","FT","Data Engineer",81500,0,"US","M"
"MI","FT","Data Engineer",1e+05,0,"US","M"
"MI","FT","Analytics Engineer",75000,100,"US","M"
"EN","FT","Data Analyst",159870,0,"US","M"
"SE","FT","AI Engineer",276000,0,"US","M"
"SE","FT","Data Scientist",140000,100,"US","M"
"MI","FT","Data Scientist",131752,100,"GB","M"
"SE","FT","Data Engineer",139810,0,"US","M"
"MI","FT","Data Analyst",75000,0,"CA","M"
"SE","FT","Data Architect",306000,100,"US","M"
"MI","FT","Business Intelligence Developer",92000,0,"US","M"
"MI","FT","Data Engineer",160000,100,"US","M"
"SE","FT","Data Specialist",173100,0,"US","M"
"SE","FT","Data Architect",299792,0,"US","M"
"EN","FT","Data Engineer",86000,100,"US","L"
"SE","FT","Data Analyst",99450,100,"US","M"
"MI","FT","Data Analyst",110000,0,"US","M"
"SE","FT","Applied Scientist",164000,100,"US","M"
"SE","FT","Research Scientist",278700,0,"US","M"
"SE","FT","Data Specialist",60000,0,"US","M"
"SE","FT","Data Scientist",212000,0,"US","M"
"SE","FT","Machine Learning Scientist",138000,100,"US","M"
"SE","FT","Business Data Analyst",78000,100,"US","L"
"SE","FT","Data Scientist",225000,0,"US","M"
"MI","FT","Machine Learning Engineer",95000,100,"PT","M"
